date,open,high,low,close,volume
2014-01-02,141.5709,142.1045,140.2955,141.1277,407749
2014-01-03,141.3628,143.416,141.3628,141.9146,442436
2014-01-06,142.3397,142.6382,139.6262,139.6986,594894
2014-01-07,140.1146,141.2452,139.7076,139.8162,664351
2014-01-08,140.6483,142.5568,138.8031,142.5477,815804
2014-01-09,142.9547,144.1396,141.6251,143.823,788871
2014-01-10,144.6371,144.7275,141.3628,141.6794,853283
2014-01-13,141.2905,141.5935,138.1971,138.8393,701434
2014-01-14,138.8936,140.5307,138.6584,140.4222,1099391
2014-01-15,140.4222,143.009,140.395,142.5477,753100
2014-01-16,142.5658,144.0492,141.8241,143.8773,714573
2014-01-17,142.394,144.4915,141.2814,141.8603,772913
2014-01-21,142.2583,142.81,137.1389,139.0202,1072496
2014-01-22,139.0473,139.0473,135.8183,136.56,1239668
2014-01-23,135.2304,138.7308,135.2304,138.6855,993597
2014-01-24,136.0263,137.7177,131.6034,131.7662,1334821
2014-01-27,133.5028,133.5028,128.3291,128.8809,1925794
2014-01-28,128.6547,131.3257,127.289,130.1562,1642934
2014-01-29,129.1522,130.6537,127.506,128.103,1473081
2014-01-30,132.4626,132.9601,117.629,119.5917,4743441
2014-01-31,118.4883,123.3002,117.8732,120.5686,3119369
2014-02-03,120.5686,121.4891,112.5096,114.5899,3605369
2014-02-04,116.0281,118.4611,115.404,118.1265,2339516
2014-02-05,117.1677,118.2441,115.9919,117.9275,1876604
2014-02-06,118.2983,120.8671,118.0541,120.8399,1891193
2014-02-07,121.6902,124.1594,120.8399,123.5082,1971533
2014-02-10,123.5353,125.5614,122.7665,123.5444,1519864
2014-02-11,123.5263,125.3072,123.264,124.7926,1510042
2014-02-12,125.3895,126.465,123.5444,124.7564,1250087
2014-02-13,123.68,125.8056,123.2468,125.2086,868302
2014-02-14,125.1905,126.9724,124.476,125.3262,1381049
2014-02-18,125.7785,126.8548,122.8841,123.6077,1432893
2014-02-19,123.6258,123.9785,121.8258,122.2057,1256973
2014-02-20,122.4952,125.0549,120.65,124.8287,1318255
2014-02-21,125.082,126.3212,124.8607,125.5433,1170891
2014-02-24,126.1855,128.5191,125.5614,127.4156,1221143
2014-02-25,127.4156,128.6276,126.8458,127.289,1195273
2014-02-26,127.9658,130.4824,126.1942,129.2832,1190587
2014-02-27,129.0742,132.1814,129.0106,131.7634,1113696
2014-02-28,131.5,133.099,129.9464,131.4,1284353
2014-03-03,129.4103,131.1729,128.7926,130.0463,1382668
2014-03-04,131.6635,133.3624,131.3582,132.5357,1108335
2014-03-05,132.3267,135.0341,131.6181,134.2619,1318164
2014-03-06,134.7071,135.254,133.5078,133.9984,648895
2014-03-07,135.3339,135.7337,132.3903,132.6356,903415
2014-03-10,132.3994,132.4448,131.3546,132.3721,985460
2014-03-11,132.5993,133.2352,130.5914,131.2092,891438
2014-03-12,131.2001,131.2165,129.0106,130.8731,865299
2014-03-13,131.1911,132.0087,127.6387,128.729,933549
2014-03-14,128.6744,129.9282,127.9184,129.0833,1026008
2014-03-17,129.4649,132.9799,129.4649,131.718,987719
2014-03-18,132.1632,133.3715,131.5636,132.9445,646071
2014-03-19,133.5169,134.3618,131.5,132.9627,663891
2014-03-20,132.5175,132.5629,130.655,131.4818,739366
2014-03-21,132.4539,133.1989,131.2637,131.6726,1264278
2014-03-24,132.5266,132.7083,128.6472,129.8737,756267
2014-03-25,130.7186,132.4721,130.3098,132.0542,775567
2014-03-26,132.6901,133.5896,129.483,129.5921,677886
2014-03-27,129.3286,131.1002,129.056,129.9918,684028
2014-03-28,130.6278,133.6623,130.4052,133.3261,761304
2014-03-31,134.0802,135.8927,133.3988,135.7882,909523
2014-04-01,136.0335,140.1037,135.4248,139.2769,1237673
2014-04-02,139.2769,140.24,138.3139,139.5767,781585
2014-04-03,140.1037,140.2854,138.2324,139.0861,835133
2014-04-04,140.5489,142.375,137.8505,138.0959,1361126
2014-04-07,137.7688,139.3224,132.5902,134.2982,1281454
2014-04-08,134.0347,136.1607,132.672,134.4436,982319
2014-04-09,135.6792,137.2691,133.833,136.3515,871226
2014-04-10,135.9972,137.2237,133.7168,133.8985,916943
2014-04-11,133.0354,137.0329,132.1904,134.2619,1230882
2014-04-14,135.4248,136.7967,133.5169,134.7979,717535
2014-04-15,135.6428,138.432,134.8524,137.6052,1120871
2014-04-16,138.9408,140.6397,137.8324,140.6034,1010588
2014-04-17,140.7669,141.412,139.1134,139.6858,785303
2014-04-21,140.2491,140.6851,139.0044,140.2581,597465
2014-04-22,140.3672,141.3484,139.604,140.6942,869158
2014-04-23,140.2218,140.2627,138.5874,139.4859,722387
2014-04-24,140.1855,141.0486,138.407,140.5125,859847
2014-04-25,137.4871,141.5596,135.3884,141.203,1533674
2014-04-28,141.6391,142.3296,137.1873,140.2581,1414046
2014-04-29,140.1037,140.2672,136.9329,138.3321,984529
2014-04-30,138.2503,139.5404,137.6178,139.3496,585907
2014-05-01,138.968,140.7942,137.5689,138.2776,752509
2014-05-02,138.5955,140.7669,137.5417,138.5501,643216
2014-05-05,138.1049,139.713,137.2238,138.541,487114
