date,open,high,low,close,volume
2016-01-05,119.2488,121.9733,118.1667,121.5772,2163572
2016-01-06,120.9975,121.2873,115.877,115.9157,2386461
2016-01-07,112.4376,115.6838,111.0367,111.0561,2489451
2016-01-08,111.5681,113.4617,109.6552,112.6695,2006267
2016-01-11,113.0463,113.3554,110.2252,111.0754,1408550
2016-01-12,111.5971,112.1285,110.6213,111.6357,1098024
2016-01-13,112.5149,113.0994,108.776,109.0272,949576
2016-01-14,109.6648,111.1333,106.322,110.5054,785469
2016-01-15,109.4909,110.9884,108.1287,108.718,1093741
2016-01-19,109.8098,111.9449,106.1481,106.6409,1523527
2016-01-20,105.3656,107.8195,104.6506,105.5974,1654181
2016-01-21,106.0129,106.8341,104.6458,106.2737,944335
2016-01-22,108.0901,109.1228,106.4573,108.1577,745066
2016-01-25,107.549,110.7469,106.2737,106.3897,703799
2016-01-26,106.6795,107.6263,103.6676,107.2399,563603
2016-01-27,107.0177,108.7567,105.3269,106.9597,896948
2016-01-28,107.1432,109.1431,106.1771,108.7663,680420
2016-01-29,109.5103,110.7082,107.8872,110.5923,749928
2016-02-01,110.1382,110.9594,109.0755,110.6213,574170
2016-02-02,109.4136,110.003,106.0322,106.8148,694826
2016-02-03,109.5392,110.7566,105.9259,110.1865,896326
2016-02-04,110.2155,112.3796,110.2155,111.7903,956336
2016-02-05,111.2203,112.5439,105.9936,110.1576,997061
2016-02-08,109.4619,109.4619,106.7182,107.3944,1200452
2016-02-09,107.4041,108.3103,105.9259,106.9017,1725244
2016-02-10,103.1145,108.3122,102.757,103.8777,1945964
2016-02-11,102.0518,105.554,100.5833,103.501,1319536
2016-02-12,104.8825,105.7206,103.443,104.1869,922402
2016-02-16,105.4139,107.5297,103.385,107.0177,1185091
2016-02-17,107.0756,108.3123,104.3124,107.4717,922004
2016-02-18,107.3558,108.3992,105.24,107.8195,441403
2016-02-19,107.5973,108.5876,103.6459,106.5926,1244745
2016-02-22,107.5877,109.3943,107.2495,109.2108,681534
2016-02-23,108.5635,108.9789,107.578,108.0997,411236
2016-02-24,107.0177,108.6794,106.0998,107.7809,447282
2016-02-25,107.8195,109.1624,106.9983,109.0562,559882
2016-02-26,109.5006,110.3121,107.2495,108.9306,460167
2016-02-29,109.2108,111.4522,107.8678,109.4813,971565
2016-03-01,110.3991,111.6551,108.834,111.5971,694078
2016-03-02,111.4425,113.1236,111.2976,112.8241,1159689
2016-03-03,112.5439,113.6839,111.5101,113.0366,884727
2016-03-04,112.6598,113.5003,111.6551,113.2202,692422
2016-03-07,112.1188,113.5003,112.0608,112.9883,898185
2016-03-08,112.5535,113.3941,111.5392,112.7564,844475
2016-03-09,113.0849,113.3361,111.5874,112.5439,796520
2016-03-10,112.9497,114.0027,110.2735,112.8627,416820
2016-03-11,113.9351,116.6692,112.6791,116.534,590200
2016-03-14,116.3408,116.9398,114.5824,116.5436,495103
2016-03-15,115.7804,116.6692,114.0897,116.6113,515925
2016-03-16,116.2731,116.9398,114.9785,116.7272,562061
2016-03-17,116.9108,120.1956,115.4036,119.8285,809321
2016-03-18,120.041,120.3405,116.0219,117.162,1607637
2016-03-21,116.7659,117.7127,115.1041,117.3359,1001334
2016-03-22,116.9301,118.7464,116.6306,117.3552,711414
2016-03-23,117.3552,117.3552,115.0655,115.336,444186
2016-03-24,114.8626,115.394,113.6549,115.365,534102
2016-03-28,115.4616,116.7852,114.0027,114.6983,798518
2016-03-29,114.4558,115.3677,113.5149,114.4461,591035
2016-03-30,114.8535,116.0855,114.5819,115.1834,443154
2016-03-31,115.2222,115.7605,114.3297,115.1057,577994
2016-04-01,114.5431,116.7354,113.5197,116.3377,765063
2016-04-04,116.0758,116.7451,113.8629,114.126,514255
2016-04-05,112.9134,112.9474,109.8578,110.6532,1149975
2016-04-06,110.6726,112.1471,110.3234,112.0113,2036098
2016-04-07,111.3032,111.8124,109.9451,110.1391,702236
2016-04-08,111.439,111.5554,109.2176,110.013,689087
2016-04-11,110.692,112.4769,110.692,111.2062,553784
2016-04-12,111.5457,112.5157,111.3129,112.3217,775919
2016-04-13,112.3411,114.4752,111.6524,114.4558,621917
2016-04-14,114.6207,116.0952,113.6604,114.1939,358129
2016-04-15,113.9805,115.2416,112.4576,114.902,939335
2016-04-18,114.7759,117.6376,113.9902,117.6279,735929
