date,open,high,low,close,volume
2015-06-24,57.709,57.709,57.6453,57.6453,3300
2015-06-25,57.2088,57.2088,56.2992,56.2992,3700
2015-06-26,,,,56.2992,100
2015-06-29,55.4079,55.4079,55.2988,55.2988,300
2015-06-30,55.7808,55.8445,54.8713,55.3897,1815537
2015-07-01,55.2442,56.754,55.1442,56.754,192377
2015-07-02,57.2997,59.1187,56.754,59.1097,1744987
2015-07-06,59.2279,60.3921,57.2906,57.9819,2092257
2015-07-07,58.1274,58.2001,55.9718,56.8177,3053125
2015-07-08,56.845,58.1183,54.1164,54.3074,3784289
2015-07-09,54.1164,55.417,53.216,54.1255,2284226
2015-07-10,54.5439,56.0264,54.0254,55.8445,2237703
2015-07-13,56.4266,56.6176,56.0355,56.4993,1248987
2015-07-14,56.4811,57.3452,55.8809,56.563,994808
2015-07-15,56.6176,57.236,55.5989,56.0446,1209854
2015-07-16,56.1173,57.9182,55.9682,56.6812,1365863
2015-07-17,56.9541,57.5271,56.0628,56.1628,1213162
2015-07-20,56.3902,57.236,55.9354,55.9809,1977775
2015-07-21,56.2447,57.1724,54.2255,54.4347,1808280
2015-07-22,54.8895,55.608,54.1801,54.6985,900133
2015-07-23,54.362,55.2806,53.98,54.4347,1124672
2015-07-24,54.1619,54.5257,52.4429,53.5798,1154608
2015-07-27,53.1614,54.0436,52.6293,52.9249,1255150
2015-07-28,53.2251,54.3438,52.2883,53.9709,1636666
2015-07-29,53.5525,54.3256,52.8249,54.0163,1790204
2015-07-30,55.8081,57.4725,55.5171,57.1451,3530135
2015-07-31,55.9354,57.9819,55.6262,57.3543,1624924
2015-08-03,57.6362,58.8823,56.7449,57.4543,2128045
2015-08-04,56.6176,57.709,56.6085,56.9086,702962
2015-08-05,57.5635,58.1728,56.5903,57.0723,1499416
2015-08-06,56.3902,56.845,55.0077,56.1537,2536887
2015-08-07,56.0991,56.945,55.4625,56.8995,2060919
2015-08-10,57.6361,58.1027,56.6387,57.6269,1424070
2015-08-11,58.5602,58.5602,56.4649,58.0112,1727206
2015-08-12,58.0112,58.4413,56.4649,57.9289,1396295
2015-08-13,57.8831,58.375,57.0505,57.7642,844266
2015-08-14,57.7642,58.3864,56.6927,57.8557,938717
2015-08-17,57.3067,58.0204,57.3067,57.9563,714354
2015-08-18,57.6635,58.1759,57.5629,57.7916,806543
2015-08-19,57.6269,57.9106,56.7943,56.7943,1078040
2015-08-20,56.5015,56.5015,55.2479,55.5224,1297576
2015-08-21,55.1015,55.1427,53.6467,53.9944,1959044
2015-08-24,51.8441,55.1656,48.9344,51.6611,2146015
2015-08-25,53.3447,53.4088,50.3344,50.7827,2348724
2015-08-26,52.2742,53.0153,50.4625,51.652,1860463
2015-08-27,53.2898,54.214,52.8323,54.1865,1874589
2015-08-28,54.278,55.2845,54.1865,55.1381,1508710
2015-08-31,54.9826,55.1107,53.6558,54.3055,1681729
2015-09-01,53.5277,54.095,52.7591,53.4637,1851549
2015-09-02,54.2963,54.3878,52.567,53.2258,1237808
2015-09-03,53.3905,54.5708,53.2349,53.729,1106028
2015-09-04,52.3931,53.3722,52.384,52.4755,821081
2015-09-08,53.1983,53.6924,52.7866,53.6192,625521
2015-09-09,53.9852,54.9551,53.1892,53.299,1079371
2015-09-10,53.1892,54.3604,53.0977,53.7473,1662988
2015-09-11,53.5277,54.6989,53.0885,53.7565,1032846
2015-09-14,53.7565,54.5525,52.6585,54.5159,1485322
2015-09-15,57.6361,57.6361,53.6833,54.6074,1422948
2015-09-16,54.1957,54.1957,52.1644,53.7931,1964997
2015-09-17,53.6924,54.1499,52.5029,52.8232,1228568
2015-09-18,52.1278,52.4572,50.8742,50.9657,2215412
2015-09-21,52.7774,52.7774,50.7736,51.1121,1649264
2015-09-22,52.1461,52.1461,48.907,49.3553,1991919
2015-09-23,49.2547,50.3435,48.1109,48.303,1841632
2015-09-24,46.6743,47.9919,46.2077,47.8638,2477608
2015-09-25,48.1017,48.2939,47.2782,47.5344,1469232
2015-09-28,46.9946,47.507,45.6587,45.7227,1765843
2015-09-29,45.1829,46.9122,44.6522,46.2717,1774599
2015-09-30,50.1056,50.1056,46.3175,47.0678,1591805
2015-10-01,50.5265,51.286,46.7475,47.5802,2199753
2015-10-02,45.741,48.5409,45.741,48.5043,1927921
2015-10-05,48.8612,49.7579,48.5958,49.5017,1544706
2015-10-06,49.7396,50.371,49.3828,49.6939,2165271
2015-10-07,47.1593,50.1697,47.1593,49.4651,2463152
2015-10-08,49.337,49.9958,49.0076,49.5841,1810711
2015-10-09,50.3344,52.814,50.3344,52.6768,3475499
2015-10-12,52.6402,52.6951,50.7644,51.5422,1297338
2015-10-13,50.9291,51.9722,50.737,50.8193,1768995
2015-10-14,50.8559,51.4141,50.5814,51.0206,1020990
2015-10-15,50.8468,51.3592,50.2795,51.2494,877067
2015-10-16,52.933,52.933,50.1056,51.0481,1397040
2015-10-19,50.4991,50.9922,49.1006,49.6573,1440255
2015-10-20,49.2638,49.8127,46.9946,49.1906,1125935
2015-10-21,49.5932,49.5932,47.3514,48.1017,1562911
2015-10-22,48.6508,49.1906,47.5161,48.0377,1879332
2015-10-23,48.2115,49.1449,48.1658,48.8338,1502294
2015-10-26,48.7697,48.82,47.754,48.7331,1164100
2015-10-27,48.303,48.7788,47.7357,48.5592,1021770
2015-10-28,50.1422,50.252,48.4586,49.7854,1828714
2015-10-29,48.2298,50.1697,47.5985,49.4651,1101222
2015-10-30,49.5109,49.9226,49.1906,49.1906,1046013
2015-11-02,49.0076,50.005,48.971,49.5017,1169850
2015-11-03,46.6835,49.2455,46.6835,48.6965,1388184
2015-11-04,50.1788,50.1788,48.605,48.7239,1021852
2015-11-05,45.7319,48.12,44.1032,47.0129,3935048
2015-11-06,46.592,49.1632,46.592,49.0991,1404944
2015-11-09,46.7841,49.4926,46.775,47.4887,1477481
2015-11-10,48.12,48.12,46.0521,46.9671,1202625
2015-11-11,46.1528,47.5344,46.1528,47.1776,801704
2015-11-12,46.1162,46.592,45.0548,45.0822,1346459
2015-11-13,44.762,45.7319,44.3136,44.4234,1641965
2015-11-16,44.4692,44.6019,43.5999,43.8561,2369737
2015-11-17,42.6895,45.2256,42.6895,44.036,2299688
2015-11-18,43.9345,45.7605,43.9345,45.7144,1771495
2015-11-19,45.4562,46.5721,45.1703,46.277,1538448
2015-11-20,46.443,46.7565,45.9634,46.2124,986829
2015-11-23,45.2902,46.9317,45.2902,46.4798,1194504
2015-11-24,48.5272,48.5272,46.1478,46.5721,1721667
2015-11-25,46.0464,47.0516,45.1795,46.3692,926120
2015-11-27,46.2216,46.7381,46.1024,46.4891,289048
2015-11-30,48.0476,48.0476,46.5905,46.692,1461775
2015-12-01,46.8303,47.6972,46.4798,47.0516,1056317
2015-12-02,45.8988,47.5588,45.8988,46.4522,1084265
2015-12-03,48.0476,48.0476,46.1202,46.5997,1244232
2015-12-04,46.7288,46.8303,45.9081,46.4983,827737
2015-12-07,45.4746,46.4983,45.0965,45.1519,1541524
2015-12-08,45.0596,45.3547,44.2481,44.2665,1232173
2015-12-09,44.3956,45.0227,43.8054,44.3126,1529283
2015-12-10,43.372,44.5801,42.8832,43.2613,3138896
2015-12-11,42.5881,43.3259,42.0624,42.2007,1569255
2015-12-14,42.0993,42.3575,40.4854,40.716,2078636
2015-12-15,41.1955,42.0182,40.1626,40.1811,3263628
2015-12-16,40.5869,41.5091,39.4249,41.4261,3985899
2015-12-17,41.3062,41.7673,40.965,41.38,3345609
2015-12-18,41.4814,41.8521,40.6145,40.6606,5003509
2015-12-21,40.8082,41.3615,40.5961,41.0203,3419447
2015-12-22,41.0756,41.2785,39.9551,40.6145,2501617
2015-12-23,41.0019,42.0763,40.6422,41.9702,1720045
2015-12-24,42.1362,42.5235,41.7673,41.9702,442078
2015-12-28,41.878,42.1085,41.417,42.0809,943502
2015-12-29,42.3668,42.6987,42.127,42.3022,881896
2015-12-30,42.1546,42.4912,41.9795,42.2007,1051118
2015-12-31,41.9149,42.7495,41.8688,42.0716,972200
2016-01-04,41.3246,41.9886,40.9418,41.9794,1646254
2016-01-05,42.0255,42.15,41.7212,41.9518,1566922
2016-01-06,41.2232,41.403,40.5776,40.7898,1378315
2016-01-07,39.9505,41.1125,39.7938,40.384,1994407
2016-01-08,40.1534,40.2733,38.4934,38.6687,2958780
2016-01-11,38.7978,38.9177,36.3447,36.6674,3725662
2016-01-12,36.9072,37.2945,34.9521,35.3671,3538004
2016-01-13,34.9706,36.9072,34.9429,35.0074,4673555
2016-01-14,35.1734,35.902,34.5094,35.5054,1770883
2016-01-15,34.6293,35.1919,34.0299,34.1682,2434447
2016-01-19,34.5279,34.657,33.4009,33.6241,2377798
2016-01-20,33.0892,33.91,31.835,33.246,2680409
2016-01-21,33.412,34.4541,32.997,33.578,1647912
2016-01-22,34.3527,35.2103,34.0391,34.8046,1873201
2016-01-25,31.42,31.5307,29.0776,29.6125,8386684
2016-01-26,29.8799,30.3779,29.3819,29.5848,2887274
2016-01-27,29.262,31.0879,29.262,30.0643,2064444
2016-01-28,30.2488,30.7099,29.1698,29.1882,2466838
2016-01-29,29.3819,32.6558,29.2343,32.5359,5158792
2016-02-01,32.084,32.5174,30.8021,32.2869,3585805
2016-02-02,31.4846,31.7151,30.7283,30.7652,3029772
2016-02-03,31.3093,31.6413,30.3318,30.7191,3747026
2016-02-04,30.5531,31.8627,30.5347,31.752,3319042
2016-02-05,31.5491,32.1486,30.7099,30.8021,1402320
2016-02-08,30.6177,30.7929,29.3266,29.6862,2067269
2016-02-09,29.2067,30.3659,29.1698,30.1473,3128848
2016-02-10,29.5083,30.9263,29.1911,29.2471,3092819
2016-02-11,28.7526,29.2004,27.7357,27.9316,2988264
2016-02-12,28.3421,29.0045,28.0996,28.9485,2271281
2016-02-16,29.387,29.5643,28.6316,29.3963,2352771
2016-02-17,29.9188,30.8983,29.5829,30.5158,2006866
2016-02-18,30.6464,30.9357,29.8535,30.5345,1989132
2016-02-19,29.5456,30.3106,28.5101,29.443,3522612
2016-02-22,30.7584,30.7584,29.6296,30.18,1492379
2016-02-23,30.0121,30.4878,29.7882,30.3946,1446714
2016-02-24,29.8628,30.4412,29.5363,30.1427,1663941
2016-02-25,30.3759,30.7771,29.7042,30.2453,1435968
2016-02-26,30.3572,31.8061,30.0307,31.3088,2113596
2016-02-29,30.3572,32.8295,30.3572,31.5047,2816462
2016-03-01,31.8872,33.0394,31.7006,33.0254,1932642
2016-03-02,32.8388,34.4994,32.7175,34.4248,2884122
2016-03-03,34.2662,35.2924,34.2662,35.1525,2447455
2016-03-04,35.367,35.451,33.7997,34.2942,3203757
2016-03-07,34.1822,34.6953,33.24,33.809,2099353
2016-03-08,33.4359,33.7111,32.335,32.9881,2397309
2016-03-09,33.2586,33.6225,32.9134,33.212,2395293
2016-03-10,33.2493,33.5105,32.2417,32.6895,1716136
2016-03-11,33.1467,34.5087,32.8062,34.4808,1555194
2016-03-14,33.865,35.8335,33.865,35.4696,2476718
2016-03-15,35.3857,35.3857,33.9583,34.5367,1277932
2016-03-16,34.5647,35.6842,34.1496,35.4417,2021710
2016-03-17,35.2178,36.9343,35.2178,36.7477,2604935
2016-03-18,36.8504,37.2235,35.7215,36.7851,8024556
2016-03-21,36.6358,37.9204,36.6358,37.4194,2768376
2016-03-22,37.0183,37.7273,36.869,37.4941,2172964
2016-03-23,37.1862,37.4288,36.4119,36.5705,1255647
2016-03-24,36.0387,36.1413,35.5909,35.9454,1519127
2016-03-28,36.0667,36.16,35.4976,35.8801,1116612
2016-03-29,35.535,36.3653,34.8912,36.3466,1378286
2016-03-30,36.3746,36.6824,34.9845,35.6842,1509728
2016-03-31,35.6003,36.4492,35.5256,36.4119,2292068
2016-04-01,36.1787,36.8317,35.8801,36.5705,1975259
2016-04-04,36.3839,36.7477,35.2457,35.3017,1351319
