date,open,high,low,close,volume
2014-01-02,14.9824,15.0085,14.7562,14.8171,5537982
2014-01-03,14.8519,14.9215,14.6605,14.7214,4222455
2014-01-06,14.7823,14.9128,14.7214,14.8432,5361624
2014-01-07,14.8519,15.2695,14.8258,15.1738,9793838
2014-01-08,15.2869,15.5131,15.0955,15.1564,10439031
2014-01-09,15.2347,15.2695,14.8214,14.8432,7009207
2014-01-10,14.8954,14.9128,14.5299,14.5909,7206794
2014-01-13,14.5996,14.6431,14.2472,14.2515,6357759
2014-01-14,14.1297,14.3951,14.0862,14.3733,11767347
2014-01-15,14.3298,14.5909,14.208,14.5212,8023259
2014-01-16,14.5473,14.5909,14.4516,14.5473,4738836
2014-01-17,14.5386,14.7736,14.2776,14.3124,5789095
2014-01-21,14.3646,14.3646,14.034,14.0688,6706294
2014-01-22,14.0862,14.2254,13.9905,14.1906,5435366
2014-01-23,14.1036,14.1036,13.9557,14.0253,5925278
2014-01-24,13.9731,13.9992,13.6947,13.6947,7749007
2014-01-27,13.7251,13.773,13.3032,13.4859,7142155
2014-01-28,13.5642,13.9122,13.5294,13.8339,7741248
2014-01-29,13.6686,13.7686,13.4728,13.512,7500809
2014-01-30,13.6686,13.7208,13.5555,13.6338,5196894
2014-01-31,13.4598,13.5903,13.3815,13.3989,6108474
2014-02-03,13.425,13.4946,13.1727,13.1814,9357723
2014-02-04,13.2075,13.3032,13.1292,13.251,14640492
2014-02-05,13.1988,13.2901,13.0509,13.2336,10332467
2014-02-06,13.2684,13.425,13.2249,13.3206,6574814
2014-02-07,13.3728,13.6251,13.3467,13.599,5133019
2014-02-10,13.5816,13.6947,13.4859,13.6077,4808124
2014-02-11,13.5816,13.934,13.5729,13.8165,10367321
2014-02-12,14.3559,14.7823,14.0514,14.2167,17927968
2014-02-13,14.0688,14.1558,13.9992,14.0253,7859125
2014-02-14,14.0427,14.1993,13.9818,14.1471,4820805
2014-02-18,14.1732,14.2776,14.0775,14.1123,5930653
2014-02-19,14.0775,14.1906,13.9383,13.9644,7829194
2014-02-20,14.0166,14.0427,13.7991,13.9122,5271683
2014-02-21,13.947,14.0775,13.8774,13.9557,4932401
2014-02-24,13.9644,14.3733,13.9644,14.2254,6339448
2014-02-25,14.1558,14.1732,13.8165,14.0253,8998343
2014-02-26,14.0775,14.382,14.0775,14.2602,7911508
2014-02-27,14.1036,14.4777,14.0079,14.4516,7703291
2014-02-28,14.5734,14.6431,14.4342,14.556,9020750
2014-03-03,14.3907,14.5256,14.2863,14.4342,11050653
2014-03-04,14.5909,14.6431,14.4951,14.5822,5272405
2014-03-05,14.5734,14.7388,14.556,14.6692,5407727
2014-03-06,14.7127,14.7736,14.5996,14.6083,4708095
2014-03-07,14.704,14.8606,14.5299,14.5473,8947493
2014-03-10,14.5386,14.6866,14.5125,14.5647,4980406
2014-03-11,14.5822,14.8519,14.5734,14.6518,8210237
2014-03-12,14.5734,14.6257,14.4255,14.4864,4503145
2014-03-13,14.4996,14.4996,14.0525,14.0876,8101809
2014-03-14,14.1139,14.2454,13.8597,13.9649,9035036
2014-03-17,14.1226,14.2717,13.9999,14.2278,4207909
2014-03-18,14.2103,14.4119,14.1665,14.4119,3466660
2014-03-19,14.447,14.5084,14.2103,14.3067,4106027
2014-03-20,14.2366,14.4645,14.2015,14.4645,3193277
2014-03-21,14.4821,14.4908,14.1577,14.2015,7002142
2014-03-24,14.2892,14.4821,14.184,14.4207,6130868
2014-03-25,14.5259,14.5522,14.2717,14.333,4927515
2014-03-26,14.4032,14.4996,14.0087,14.0262,4770429
2014-03-27,13.921,14.3593,13.8991,14.3155,5304981
2014-03-28,14.3593,14.4207,14.1752,14.2103,3707294
2014-03-31,14.2629,14.3944,14.2541,14.3418,3519836
2014-04-01,14.3856,14.7188,14.3593,14.7012,4967536
2014-04-02,14.6925,14.824,14.6004,14.7188,4104899
2014-04-03,14.596,14.7626,14.4514,14.4908,5978419
2014-04-04,14.5522,14.6223,14.333,14.3593,7892831
2014-04-07,14.3506,14.3681,13.9035,14.035,8265406
2014-04-08,14.0613,14.1489,13.9955,14.1314,7887136
2014-04-09,14.2191,14.4821,14.2191,14.3769,7722075
2014-04-10,14.4032,14.6048,14.0262,14.07,10845736
2014-04-11,13.9911,14.1314,13.8334,13.8421,12921170
2014-04-14,13.9035,14.0174,13.7501,13.886,5578238
2014-04-15,13.9386,14.035,13.6142,13.8071,8352400
2014-04-16,13.9473,14.0788,13.8071,14.07,8542865
2014-04-17,12.8428,13.6054,12.7989,13.3687,19583286
2014-04-21,13.4126,13.5967,13.4126,13.5791,8077790
2014-04-22,13.6493,13.772,13.6142,13.7282,5822452
2014-04-23,13.6843,13.8509,13.623,13.7983,4237261
2014-04-24,13.8421,13.9035,13.6931,13.8597,4098371
2014-04-25,13.7545,13.7895,13.6317,13.6317,4623135
2014-04-28,13.7282,13.772,13.5528,13.7019,5534136
2014-04-29,13.7632,13.8377,13.5616,13.7194,3460604
2014-04-30,13.7369,13.9386,13.6843,13.9123,5443189
2014-05-01,13.9561,14.07,13.8377,13.8947,7073006
2014-05-02,14.3593,14.4207,14.0876,14.298,9113105
2014-05-05,14.184,14.3593,14.0788,14.2629,6571881
2014-05-06,14.2191,14.3418,14.1226,14.1402,5397634
2014-05-07,14.2015,14.2629,13.9824,14.2629,7529707
2014-05-08,14.2366,14.5084,14.1752,14.2454,4263191
2014-05-09,14.2366,14.3506,14.1928,14.333,2757396
2014-05-12,14.3769,14.5259,14.333,14.4558,3675418
2014-05-13,14.4645,14.4996,14.0437,14.3593,3765431
2014-05-14,14.3856,14.3944,14.0174,14.0262,5829914
2014-05-15,14.0437,14.0963,13.921,14.0525,3660619
2014-05-16,13.9386,13.9561,13.7983,13.9386,4092715
2014-05-19,13.8947,14.0788,13.8684,14.0613,2867113
2014-05-20,14.0788,14.1226,13.7545,13.7808,5328742
