date,open,high,low,close,volume
2014-01-02,85.1007,85.5934,84.4254,84.7354,11030125
2014-01-03,84.7524,85.0921,84.2181,84.5316,9295650
2014-01-06,84.8968,85.0667,84.0018,84.659,11849986
2014-01-07,84.6165,85.9799,84.4551,85.8567,11188673
2014-01-08,85.9587,85.9587,85.0752,85.5764,11180366
2014-01-09,85.1177,85.2791,84.1238,84.7439,11679041
2014-01-10,84.9393,85.483,84.2003,85.3895,10537306
2014-01-13,84.8714,85.0328,83.4782,83.7161,12112226
2014-01-14,83.9284,84.3277,83.801,84.2003,9269763
2014-01-15,84.2342,84.3956,83.784,83.9114,9427730
2014-01-16,83.9199,84.1323,83.4612,84.0474,9421731
2014-01-17,84.2512,85.2366,83.818,84.2342,15998124
2014-01-21,83.7331,84.0011,83.2828,83.6736,13848381
2014-01-22,83.9964,84.0559,83.1129,83.1469,11648146
2014-01-23,82.6117,82.7307,81.5584,82.3739,15397746
2014-01-24,81.7028,81.7623,80.5475,80.573,14669972
2014-01-27,80.7641,81.1931,80.488,80.6325,12477405
2014-01-28,80.9977,81.4819,80.505,81.2526,10774257
2014-01-29,80.641,81.7198,80.4031,80.7939,13194427
2014-01-30,79.8509,80.6579,79.0524,79.8424,14632354
2014-01-31,78.874,79.2393,77.8971,78.2879,17372323
2014-02-03,78.0798,78.4153,76.1472,76.4955,20381403
2014-02-04,76.7673,76.9967,75.9348,76.47,17703260
2014-02-05,76.7121,76.9712,75.9264,76.0962,16395819
2014-02-06,76.5753,77.1485,76.3529,76.8234,13650204
2014-02-07,77.0972,77.5335,76.7807,77.4907,12632454
2014-02-10,77.3795,77.4479,76.447,76.5839,12241464
2014-02-11,76.6181,77.85,76.4812,77.7131,13426576
2014-02-12,77.8586,78.5857,77.542,77.9185,10753088
2014-02-13,77.4993,78.4061,77.3367,78.2179,9776453
2014-02-14,78.5173,80.7845,78.3633,80.5106,18335517
2014-02-18,80.4764,81.0325,79.869,80.4764,12981890
2014-02-19,80.2454,81.5201,80.2454,80.3737,12228854
2014-02-20,80.2882,81.9307,80.2026,81.5885,14425193
2014-02-21,81.6826,81.7682,81.2207,81.2977,11286050
2014-02-24,81.7939,83.1969,81.6228,82.5039,16034244
2014-02-25,82.5895,82.9573,82.0933,82.3927,10664330
2014-02-26,82.6066,82.8632,81.7254,81.9478,9088471
2014-02-27,81.7682,82.1703,81.4089,81.9906,9101165
2014-02-28,82.0933,82.8401,81.9393,82.3585,12652612
2014-03-03,81.9222,82.5895,81.1265,81.6997,11897226
2014-03-04,82.6322,82.8632,82.0163,82.5724,12566341
2014-03-05,81.4431,81.5201,79.8989,80.2454,19836928
2014-03-06,80.1342,80.3652,79.792,80.2112,12612051
2014-03-07,80.733,81.3233,80.408,81.2634,12660051
2014-03-10,81.4003,81.7425,80.9811,81.6997,9967356
2014-03-11,81.58,81.7767,80.0059,80.4251,12144602
2014-03-12,80.1085,80.8186,80.0315,80.5962,9705872
2014-03-13,80.7929,80.9041,79.8433,80.1085,9872689
2014-03-14,80.0572,80.6047,79.8091,79.9631,11731826
2014-03-17,80.3737,80.8699,80.2026,80.6903,8676159
2014-03-18,80.7673,81.4859,80.4764,81.0239,8757308
2014-03-19,80.9726,81.5287,79.6722,80.1855,9914653
2014-03-20,79.9374,81.0496,79.5696,80.9127,10405003
2014-03-21,81.3576,82.1189,80.6817,80.6817,24482606
2014-03-24,81.0667,81.3576,80.8271,80.964,9539768
2014-03-25,81.3576,81.9735,81.1009,81.195,9799558
2014-03-26,81.7511,81.7682,80.7673,81.0154,11033634
2014-03-27,80.9384,82.5552,80.4678,82.3328,15427492
2014-03-28,82.5296,83.8128,82.5296,83.5818,12321804
2014-03-31,84.2577,84.5657,83.2567,83.5647,12375215
2014-04-01,83.5391,83.7786,83.2225,83.6075,9476393
2014-04-02,83.4364,83.8898,83.137,83.7957,9550006
2014-04-03,83.6931,84.3005,83.4621,83.7786,10119284
2014-04-04,84.0951,84.4459,83.2225,83.291,12496720
2014-04-07,83.1969,83.4364,82.77,82.7948,10126378
2014-04-08,82.9915,83.7358,82.7691,83.368,10251416
2014-04-09,83.6246,83.6588,82.6656,83.2653,10464949
2014-04-10,82.9659,83.6503,82.3285,82.7948,13449913
2014-04-11,82.5638,83.3593,82.367,82.7435,13353028
2014-04-14,83.4022,83.8855,82.7606,83.7187,9610713
2014-04-15,83.4792,84.4373,83.0429,84.4202,12961766
2014-04-16,84.7368,85.635,84.6683,85.4981,12508091
2014-04-17,85.2843,86.3793,85.2843,85.9088,15439810
2014-04-21,85.5751,86.3451,85.4554,86.3451,8003529
2014-04-22,86.0029,86.2852,85.7377,85.866,8212620
2014-04-23,86.0542,86.3622,85.8318,85.9772,8691639
2014-04-24,85.9601,86.0628,85.4297,85.558,9057792
2014-04-25,85.5409,86.0371,85.4896,85.9002,10396471
2014-04-28,86.1654,86.8002,85.8147,86.5504,12710821
2014-04-29,86.8926,87.7481,86.6018,86.7899,10094588
2014-04-30,86.5162,87.6112,86.1569,87.6112,13972286
2014-05-01,87.2262,87.5941,86.5761,86.7557,11161697
2014-05-02,86.6445,88.039,86.3879,87.269,11169957
2014-05-05,86.9953,88.2272,86.9012,88.039,7614576
