date,open,high,low,close,volume
2014-01-02,28.2755,28.3223,27.5271,27.8546,2620351
2014-01-03,27.9013,28.1586,27.7142,28.0417,1820663
2014-01-06,28.1586,28.3925,28.0183,28.2755,3726690
2014-01-07,28.3223,28.603,28.2755,28.5094,3845816
2014-01-08,28.5328,28.5562,28.1352,28.2521,1958359
2014-01-09,28.2989,28.4159,27.8779,28.182,1599458
2014-01-10,28.2054,28.2288,27.9329,28.0417,1197603
2014-01-13,28.0417,28.7433,27.9715,28.5562,6081791
2014-01-14,28.5094,28.7199,28.2755,28.6731,2081442
2014-01-15,28.6497,29.1175,28.6497,28.9772,1705912
2014-01-16,28.9772,29.5852,28.9772,29.0941,3061595
2014-01-17,29.0473,29.0941,28.4392,28.5328,2135857
2014-01-21,28.6965,28.8485,28.3223,28.3925,2002463
2014-01-22,28.5328,28.7667,28.0183,28.2054,3757438
2014-01-23,27.9949,28.065,27.2933,27.5037,5861006
2014-01-24,26.9892,27.34,25.9134,26.2876,8886203
2014-01-27,25.9602,26.0055,24.6972,24.8142,6276674
2014-01-28,25.2118,25.5626,25.0948,25.4456,5447998
2014-01-29,25.165,25.4222,24.7206,24.8142,4564764
2014-01-30,24.9545,25.9602,24.9311,25.8432,6356790
2014-01-31,25.7497,26.0069,25.2351,25.3755,7192880
2014-02-03,25.4456,25.5626,24.2295,24.3464,5224042
2014-02-04,24.3698,24.4634,24.1172,24.2763,3994996
2014-02-05,24.2295,24.4166,23.9956,24.0892,3136131
2014-02-06,24.1593,24.3698,24.0775,24.2061,4358136
2014-02-07,24.2997,24.5335,24.2295,24.3464,6065961
2014-02-10,24.2997,24.4283,24.2061,24.323,5681657
2014-02-11,24.2763,24.9311,24.2529,24.7206,5491941
2014-02-12,24.7674,25.0013,24.6855,24.9311,3481244
2014-02-13,24.8843,25.2819,24.8142,25.2351,3030580
2014-02-14,25.165,25.3287,25.048,25.0714,2592661
2014-02-18,25.1416,25.4456,25.048,25.0714,2659662
2014-02-19,25.0247,25.3755,24.9194,24.9779,2775350
2014-02-20,25.048,25.2585,24.6972,25.1182,2830488
2014-02-21,25.1416,25.2819,25.0714,25.1182,2640964
2014-02-24,25.1416,25.3755,25.0714,25.2118,2267261
2014-02-25,25.165,25.3989,24.9077,24.9545,2703627
2014-02-26,25.0247,25.469,24.8376,25.1416,3251744
2014-02-27,25.048,25.9368,25.048,25.7263,3563941
2014-02-28,25.7029,25.9251,25.4339,25.7029,2949895
2014-03-03,25.5392,25.6795,25.165,25.4222,2375187
2014-03-04,25.6795,26.0514,25.6795,25.8666,2419004
2014-03-05,25.8198,25.9835,25.4924,25.5392,3067937
2014-03-06,25.6795,26.0537,25.5392,25.9368,1913676
2014-03-07,26.0303,26.1473,25.469,25.5626,2342560
2014-03-10,25.4924,25.6561,25.2351,25.3755,1500362
2014-03-11,25.3755,25.5158,25.048,25.0948,1741846
2014-03-12,24.9311,25.4222,24.9077,25.2351,2380405
2014-03-13,25.2585,25.3053,24.5569,24.7908,2541010
2014-03-14,24.744,25.0247,24.6972,24.7908,2121601
2014-03-17,24.8843,25.1416,24.8609,25.0714,1773893
2014-03-18,25.1182,25.586,25.1182,25.3755,1699524
2014-03-19,25.2585,25.3989,24.8843,25.0714,2174366
2014-03-20,25.0714,25.9602,25.0249,25.6327,2690867
2014-03-21,26.0771,26.311,25.7965,26.194,6943384
2014-03-24,26.2876,26.3577,25.1299,25.6795,4127664
2014-03-25,25.8198,25.9602,25.4924,25.8432,3288367
2014-03-26,25.9368,26.0771,25.4924,25.6093,2165477
2014-03-27,25.5212,25.8034,25.3095,25.6623,2375096
2014-03-28,25.6858,26.2974,25.5447,26.0151,2811821
2014-03-31,26.2268,26.8148,26.0621,26.5796,2498660
2014-04-01,26.6972,26.956,26.3679,26.9089,3691494
2014-04-02,26.9325,27.2853,26.8384,27.0501,2756113
2014-04-03,27.0501,27.7322,27.0501,27.6852,3421460
2014-04-04,27.8263,28.1203,26.9819,27.003,2877607
2014-04-07,27.0501,27.3088,26.5796,26.8854,2145733
2014-04-08,26.8384,27.2853,26.6972,27.0265,2222760
2014-04-09,27.1441,27.1912,26.8619,27.0265,1973519
2014-04-10,27.0971,27.1441,26.4855,26.6031,2179093
2014-04-11,26.4385,26.5914,25.8975,26.0151,1860916
2014-04-14,26.2738,26.7208,26.0386,26.6972,2189177
2014-04-15,26.6737,26.9089,26.1327,26.6031,2552687
2014-04-16,26.9089,27.1441,26.6737,27.0501,1856176
2014-04-17,26.8384,27.0265,26.3914,26.8854,2685556
2014-04-21,27.0736,27.1441,26.709,26.9795,2289329
2014-04-22,26.2974,27.6616,26.0621,27.2618,4878375
2014-04-23,27.2618,28.8612,27.1559,28.1321,4487901
2014-04-24,28.3673,28.3908,27.5911,28.2026,3195413
2014-04-25,28.038,28.1085,27.6146,27.6146,3733374
2014-04-28,27.8028,28.2614,27.2853,28.2262,3509995
2014-04-29,28.2967,28.579,28.1321,28.4849,3064999
2014-04-30,28.3908,28.4849,28.0145,28.4378,2547972
2014-05-01,28.4614,28.6966,28.3202,28.4143,1765155
2014-05-02,28.2967,28.626,28.1791,28.2967,2016892
2014-05-05,28.1791,28.2967,28.0497,28.1791,2106320
2014-05-06,28.0615,28.1556,27.5259,27.5675,2671364
2014-05-07,27.6616,28.0145,27.5205,27.8263,2503486
2014-05-08,27.7322,28.2732,27.544,28.038,1933070
2014-05-09,27.9439,28.0145,27.7087,27.8498,1400313
2014-05-12,27.9439,28.3673,27.9204,28.2497,1918537
2014-05-13,28.1321,28.5555,27.9439,28.4378,2100003
2014-05-14,28.579,28.6143,28.038,28.1791,1194697
2014-05-15,28.1085,28.2732,27.6381,27.8969,1707985
2014-05-16,27.8733,28.1791,27.6616,28.0615,1572229
2014-05-19,28.0615,28.6495,28.038,28.626,1258003
2014-05-20,28.626,28.6731,28.1085,28.2262,1364117
2014-05-21,28.2967,28.3202,27.6852,27.8733,3155035
2014-05-22,27.7792,28.085,27.7557,27.8028,1954027
2014-05-23,28.0145,28.3908,27.8733,28.3673,1363332
2014-05-27,28.5319,28.8377,28.2803,28.579,3573924
2014-05-28,28.579,28.9318,28.3673,28.6966,1810174
2014-05-29,28.8848,28.9318,28.4849,28.9318,1134913
2014-05-30,28.9083,29.0965,28.7436,29.0494,1774732
2014-06-02,29.0965,29.2846,28.8612,29.1906,1040308
2014-06-03,29.0494,29.3787,28.9318,29.3082,1599639
2014-06-04,29.167,29.708,29.1435,29.4022,1690876
2014-06-05,29.4728,29.4963,29.0965,29.1906,1437628
2014-06-06,29.3082,30.2608,29.3082,30.2255,3416806
2014-06-09,30.249,30.6019,30.0608,30.3902,2657785
2014-06-10,30.249,30.4137,30.1549,30.202,1630631
2014-06-11,30.1079,30.1667,29.9197,29.9903,1211994
2014-06-12,30.0373,30.1549,29.6375,29.708,1469251
2014-06-13,29.7551,29.9432,29.5669,29.661,1289961
2014-06-16,29.7551,29.9432,29.5199,29.5434,1068451
2014-06-17,29.4963,30.1785,29.4728,30.0138,1571559
2014-06-18,30.0138,30.0138,29.6375,29.9197,2296226
2014-06-19,29.8962,29.9197,29.2141,29.2611,1646329
2014-06-20,29.4022,29.4022,29.0141,29.0494,2711140
2014-06-23,29.0965,29.6727,29.0729,29.4493,1516643
2014-06-24,29.4728,29.8727,29.0494,29.0965,2177833
2014-06-25,29.0729,29.9197,29.0729,29.7551,1896848
2014-06-26,29.3119,29.6664,28.8864,29.17,1955865
2014-06-27,29.0755,29.5837,29.0755,29.5719,1989748
2014-06-30,29.4537,29.7019,29.3119,29.4064,1565702
2014-07-01,28.91,29.5482,28.91,29.2646,2221798
2014-07-02,29.2173,29.501,29.0282,29.17,1236794
