date,open,high,low,close,volume
2014-01-02,32.3031,32.4064,31.9274,32.0871,765141
2014-01-03,32.0777,32.7352,32.0777,32.3783,454495
2014-01-06,32.5379,32.7728,32.2467,32.3219,849360
2014-01-07,32.3783,32.7258,32.3125,32.4158,611127
2014-01-08,32.3501,32.5285,32.0589,32.397,1234973
2014-01-09,32.4534,32.66,32.2843,32.5285,760815
2014-01-10,32.4534,33.1485,32.4534,32.7915,955725
2014-01-13,32.7728,33.1532,32.7164,32.8949,1856699
2014-01-14,32.9137,33.4303,32.7446,33.4209,1716682
2014-01-15,33.6088,34.2287,33.6088,34.163,2145224
2014-01-16,34.0784,34.7641,33.9093,34.4166,1238260
2014-01-17,34.5293,34.8017,34.2193,34.3508,868285
2014-01-21,34.4635,34.5011,33.5054,33.7403,1514993
2014-01-22,34.069,34.4166,33.8154,34.2757,1207445
2014-01-23,34.0408,34.116,33.1485,33.2894,1027061
2014-01-24,33.1015,33.1673,31.5963,31.6362,1575671
2014-01-27,31.6644,31.7489,31.0726,31.3638,1654744
2014-01-28,31.5047,31.9462,31.4015,31.8522,909487
2014-01-29,31.6644,32.2374,31.1947,31.2229,1217323
2014-01-30,31.5329,31.6362,31.3027,31.3356,1397845
2014-01-31,30.9975,31.3591,30.6405,31.3356,1939700
2014-02-03,31.3356,31.4859,30.6499,30.8096,3086580
2014-02-04,32.7446,34.2099,32.3313,34.069,3716291
2014-02-05,34.1067,34.2663,33.2377,33.3645,2203764
2014-02-06,33.4303,34.426,33.4303,34.2475,1622466
2014-02-07,34.5105,34.9614,34.4354,34.7171,1439543
2014-02-10,34.7547,34.8768,34.2005,34.642,835887
2014-02-11,34.7641,35.1398,34.6185,34.8487,1415745
2014-02-12,34.9895,35.3089,34.9614,35.1304,1110004
2014-02-13,34.9144,35.5437,34.7735,35.5437,1030032
2014-02-14,35.5607,35.8717,35.5419,35.8623,881670
2014-02-18,36.0414,36.5032,35.8812,36.3524,1426039
2014-02-19,36.3147,36.5221,35.3722,35.457,1100174
2014-02-20,35.589,36.5598,35.4947,36.4844,852199
2014-02-21,36.5692,36.8237,36.4844,36.6258,1320979
2014-02-24,36.6823,37.5023,36.5409,37.1347,1168203
2014-02-25,37.1818,37.3232,36.4325,36.5315,919654
2014-02-26,36.6917,37.1724,36.4844,36.9933,1059535
2014-02-27,36.9839,37.2007,36.6917,37.1064,573428
2014-02-28,37.0216,37.2667,36.8143,37.0876,870041
2014-03-03,36.8897,36.9839,36.1357,36.3807,1407719
2014-03-04,36.7389,36.9462,36.3524,36.5598,1493178
2014-03-05,36.4467,36.6917,36.2582,36.2865,1163125
2014-03-06,36.2865,36.6258,36.0603,36.098,1523120
2014-03-07,36.3336,36.6069,36.1451,36.4184,1323904
2014-03-10,36.2865,36.3619,35.655,35.8623,970369
2014-03-11,35.8152,36.1828,35.5607,35.6738,1349706
2014-03-12,35.4382,35.6455,35.1083,35.2497,930775
2014-03-13,35.3345,35.5324,34.458,34.6276,1083391
2014-03-14,34.5428,35.0423,34.5428,34.6748,862975
2014-03-17,34.8256,35.08,34.5334,34.6936,953894
2014-03-18,34.7784,34.8067,34.5994,34.6653,923005
2014-03-19,34.6653,34.7502,34.0716,34.3449,810100
2014-03-20,34.2035,34.4768,33.8171,34.2506,1077477
2014-03-21,34.5334,34.6465,34.1658,34.1941,2900585
2014-03-24,34.326,34.6088,33.6427,33.6569,1100817
2014-03-25,33.9019,34.703,33.9019,34.5145,1431408
2014-03-26,34.6559,34.8256,33.7605,33.7794,762170
2014-03-27,33.6757,33.8831,33.3081,33.7228,974880
2014-03-28,33.77,34.2224,33.7181,33.9302,626308
2014-03-31,34.1375,34.4109,34.0244,34.326,771489
2014-04-01,34.3732,35.1083,34.2601,35.0141,1385538
2014-04-02,35.0046,35.6078,34.8256,35.5984,1345669
2014-04-03,35.6267,35.7492,35.0989,35.1272,1577457
2014-04-04,35.3157,35.7021,35.1083,35.1554,1543673
2014-04-07,35.08,35.2026,33.9773,34.2883,1380858
2014-04-08,34.147,34.4486,33.9019,33.9679,1469302
2014-04-09,34.1281,34.901,33.9113,34.8821,813122
2014-04-10,34.9858,34.9858,33.8171,33.8454,1586134
2014-04-11,33.9019,34.2035,33.0914,33.195,1295001
2014-04-14,33.4118,33.4307,32.7709,33.1008,1137669
2014-04-15,33.1008,33.1573,32.5164,32.884,1391658
2014-04-16,33.1291,33.704,32.9217,33.4495,1106604
2014-04-17,33.4872,33.6757,33.2045,33.2704,1431800
2014-04-21,33.2799,33.5438,33.0065,33.4778,606234
2014-04-22,33.4872,33.8736,33.3458,33.6569,635209
2014-04-23,33.5626,33.8359,33.5249,33.6286,510142
2014-04-24,33.8454,34.1187,33.393,33.7417,834308
2014-04-25,33.5815,33.5815,33.0065,33.3741,929058
2014-04-28,33.6192,33.6757,32.9217,33.327,1091254
2014-04-29,35.2403,35.4193,34.0056,34.3449,1478329
2014-04-30,35.0141,35.4759,34.524,35.4288,1765877
2014-05-01,35.3722,35.4476,34.6088,34.835,1230369
2014-05-02,34.8727,35.212,34.7125,34.7407,776669
2014-05-05,34.524,34.8915,34.2412,34.6559,527762
2014-05-06,34.5994,35.0046,34.4297,34.8067,716191
2014-05-07,35.0423,35.1366,34.5805,35.08,641078
2014-05-08,36.2865,36.2865,34.8067,35.1554,702629
2014-05-09,35.0423,35.0518,34.6371,35.0518,432474
2014-05-12,35.3062,35.8717,35.1649,35.8435,714055
2014-05-13,35.9566,36.1639,35.6927,35.7775,785585
2014-05-14,35.7681,35.834,35.3722,35.589,649439
2014-05-15,35.4099,35.5324,34.9104,35.0895,668398
