date,open,high,low,close,volume
2014-01-02,89.3895,89.5729,88.7526,89.0132,868763
2014-01-03,89.3413,90.6055,89.1772,89.3992,1288207
2014-01-06,90.5089,90.7116,89.679,89.9782,1414955
2014-01-07,90.1519,91.7924,90.1519,91.7731,1852572
2014-01-08,92.4583,94.0699,92.1398,94.0216,1880549
2014-01-09,94.0892,94.1953,92.9601,93.0952,1351491
2014-01-10,92.9311,93.7225,92.5355,93.2978,1351797
2014-01-13,93.2303,93.7176,92.0626,92.3039,1013820
2014-01-14,92.7767,93.5295,92.41,93.4137,716331
2014-01-15,93.5584,94.4366,93.0566,94.2918,982328
2014-01-16,94.3787,94.398,93.5295,93.6549,873086
2014-01-17,93.5874,93.5951,92.2942,92.5741,1083509
2014-01-21,94.0313,94.3015,92.3811,93.0759,837782
2014-01-22,93.0952,93.3075,92.41,93.0373,741863
2014-01-23,92.9987,93.5005,91.5222,92.0433,995997
2014-01-24,91.0976,91.638,89.9782,90.094,1036569
2014-01-27,90.258,90.7936,89.2641,89.9492,969089
2014-01-28,90.1326,91.6091,90.0554,90.9818,1059080
2014-01-29,90.1229,91.0301,89.6694,89.9589,1474052
2014-01-30,90.4607,92.0433,89.6501,89.7852,1908997
2014-01-31,90.2194,91.1188,89.2641,90.6827,1473469
2014-02-03,90.7116,90.8911,87.5946,87.6911,1181189
2014-02-04,88.135,88.5693,87.6235,88.1254,1142379
2014-02-05,87.8262,89.2737,87.6042,88.9553,1190267
2014-02-06,88.8105,89.5052,88.6561,89.3123,883624
2014-02-07,89.5632,91.3196,89.4088,91.1845,1178193
2014-02-10,90.7888,92.3425,90.7888,92.2074,1368786
2014-02-11,91.9372,92.5065,91.5994,92.3907,1091435
2014-02-12,92.2074,92.632,91.1459,92.0626,989204
2014-02-13,91.5898,92.8443,91.4354,92.7574,898942
2014-02-14,92.7864,93.1917,92.1784,92.7092,974663
2014-02-18,92.9794,93.4619,92.4872,92.6416,1261515
2014-02-19,92.3811,92.9987,91.3582,91.3871,1269540
2014-02-20,91.6573,92.1688,91.1459,91.9661,1821663
2014-02-21,91.8407,92.7767,91.445,92.0626,1323699
2014-02-24,92.1688,93.1145,92.1688,92.246,749831
2014-02-25,91.9565,92.8009,91.4257,91.7538,1064522
2014-02-26,91.7924,92.3377,91.6091,91.8696,902455
2014-02-27,91.7924,92.1495,91.2038,91.9179,737459
2014-02-28,92.1302,92.4197,90.1808,90.5572,1780419
2014-03-03,89.708,91.7731,89.5246,91.0976,1395920
2014-03-04,92.2267,93.9637,92.217,93.6549,1472966
2014-03-05,93.3944,93.9927,92.9118,93.7611,1097540
2014-03-06,93.7997,95.4112,93.79,94.8129,1480940
2014-03-07,95.1121,95.2954,93.9155,94.6296,1152033
2014-03-10,94.5234,94.9384,94.3305,94.9094,678862
2014-03-11,94.9287,95.4884,94.2146,94.4366,1021679
2014-03-12,93.0759,94.2918,93.0759,93.4233,1935800
2014-03-13,93.6742,94.176,91.0783,91.1459,2717183
2014-03-14,91.3871,92.4583,90.8081,90.8564,1833327
2014-03-17,90.9625,91.4933,90.5765,91.0108,974206
