date,open,high,low,close,volume
2014-01-02,28.6926,28.7694,28.424,28.4527,1356738
2014-01-03,28.5391,28.7022,27.9921,28.6543,1122452
2014-01-06,28.7406,28.9134,28.3856,28.4527,1988180
2014-01-07,28.6735,28.7694,28.376,28.5391,1343169
2014-01-08,28.5007,28.7886,28.3952,28.7886,2034692
2014-01-09,28.9326,29.2204,28.8174,28.9997,1800680
2014-01-10,28.923,28.9573,28.6351,28.8462,1576866
2014-01-13,28.6926,28.8174,28.3328,28.4527,1582925
2014-01-14,28.5199,28.5967,28.1457,28.4719,1743090
2014-01-15,28.6926,28.9997,28.5775,28.9613,1976534
2014-01-16,28.8654,28.8654,28.4718,28.6159,1132236
2014-01-17,28.7022,29.1437,28.424,28.9422,1489594
2014-01-21,29.1725,30.5255,29.1341,30.1993,5442892
2014-01-22,30.4775,30.9861,30.276,30.4967,3902558
2014-01-23,30.3144,30.5399,29.6235,29.9018,2885444
2014-01-24,29.7098,29.8154,28.9997,29.0093,2516103
2014-01-27,29.1533,29.3068,28.5967,28.7214,3128180
2014-01-28,28.232,28.8558,28.232,28.5583,3586172
2014-01-29,28.1745,28.3856,27.9537,28.0017,3114768
2014-01-30,28.1841,28.28,27.8656,28.1649,1624633
2014-01-31,27.829,28.0113,27.5603,27.5891,2372995
2014-02-03,27.4355,27.6467,26.6966,26.783,2743733
2014-02-04,26.879,27.7906,26.8406,27.426,3035589
2014-02-05,27.829,27.8482,27.1956,27.5699,3457230
2014-02-06,27.5891,27.9537,27.4557,27.8674,1273986
2014-02-07,28.0209,28.28,27.6563,27.7618,2033048
2014-02-10,28.4048,28.4431,27.9729,28.3664,2096508
2014-02-11,28.3376,28.7598,28.0919,28.7118,1566913
2014-02-12,28.731,29.254,28.6639,28.8846,2267752
2014-02-13,28.7022,29.1821,28.4048,29.1053,2271415
2014-02-14,29.4507,29.8922,29.2224,29.6523,2414350
2014-02-18,29.7868,30.0173,29.6138,29.7099,1872443
2014-02-19,29.633,29.6571,28.8836,28.9412,2595595
2014-02-20,28.9796,29.0277,28.5473,28.6626,2255655
2014-02-21,28.6722,28.9508,28.5761,28.7394,2357362
2014-02-24,28.7394,29.364,28.7202,29.1046,2027200
2014-02-25,29.143,29.1526,28.7875,29.0757,1179649
2014-02-26,29.0661,29.4409,28.9893,29.3352,1769529
2014-02-27,29.2775,29.5946,29.1334,29.585,1237599
2014-02-28,29.6523,30.1807,29.3448,29.979,2727561
2014-03-03,29.6811,29.8396,29.4889,29.7099,1639985
2014-03-04,29.979,30.3825,29.7195,30.1807,1395993
2014-03-05,30.0943,30.248,29.9021,30.0943,1431317
2014-03-06,30.1615,30.4209,30.0078,30.2192,1091293
2014-03-07,30.469,30.7669,30.3056,30.3345,1971076
2014-03-10,30.248,30.4306,30.1639,30.2864,2220446
2014-03-11,30.2864,30.3921,29.9213,30.2384,1610798
2014-03-12,30.1711,30.2672,29.9021,30.2192,1481200
2014-03-13,30.3249,30.5747,30.0078,30.1519,1555396
2014-03-14,30.0366,30.3537,29.9597,30.1231,1030000
2014-03-17,30.4498,30.4498,30.0366,30.1807,1309986
2014-03-18,30.1327,30.3441,30.027,30.1999,1163661
2014-03-19,30.1519,31.0647,29.9886,30.7188,3094825
2014-03-20,30.5939,32.0208,30.4594,31.6989,5481004
2014-03-21,31.2761,31.2761,29.6715,30.0174,15681067
2014-03-24,29.806,30.2768,28.9508,29.1238,7469656
2014-03-25,29.2103,29.6859,28.9796,29.4024,4381383
2014-03-26,29.5466,29.5466,28.9989,29.0181,4781898
2014-03-27,29.2006,29.2006,28.2302,28.6626,6040721
2014-03-28,28.7779,29.3256,28.653,29.1046,1917979
2014-03-31,29.2487,29.8733,29.2487,29.7676,2686199
2014-04-01,29.8636,30.1039,29.7003,29.9982,3614272
2014-04-02,30.0462,30.5074,29.8444,30.4498,4331164
2014-04-03,30.5651,30.5651,30.1039,30.4017,1575573
2014-04-04,30.4882,30.6227,30.0702,30.1423,2874056
2014-04-07,30.1135,30.248,29.2463,29.5466,3231436
2014-04-08,29.4697,29.7003,29.1814,29.3544,2484288
2014-04-09,29.4601,29.561,29.2967,29.4889,1783626
2014-04-10,29.4697,29.5177,28.3935,28.4223,2830545
